date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:19:33	7907/7907	---M--	200	added ('OK')	application/javascript	date:Thu,%2010%20Feb%202022%2004:47:43%20GMT	http://vizulab.com.au/wp-content/cache/wpfc-minified/1dix29hc/88bzv.js	C:/My%20Web%20Sites/vizual/vizulab.com.au/wp-content/cache/wpfc-minified/1dix29hc/88bzv.js	(from https://vizulab.com.au/)
14:19:35	20674/20674	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2008%20Oct%202021%2018:06:00%20GMT	https://c0.wp.com/c/5.9/wp-includes/js/jquery/ui/core.min.js	C:/My%20Web%20Sites/vizual/c0.wp.com/c/5.9/wp-includes/js/jquery/ui/core.min.js	(from https://vizulab.com.au/)
14:19:35	18647/18647	---M--	200	added ('OK')	application/javascript	date:Thu,%2010%20Feb%202022%2004:47:43%20GMT	http://vizulab.com.au/wp-content/cache/wpfc-minified/8kq0zcxg/88bzv.js	C:/My%20Web%20Sites/vizual/vizulab.com.au/wp-content/cache/wpfc-minified/8kq0zcxg/88bzv.js	(from https://vizulab.com.au/)
14:19:36	36751/36751	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2001%20Nov%202021%2021:47:13%20GMT	https://c0.wp.com/c/5.9/wp-includes/js/jquery/ui/datepicker.min.js	C:/My%20Web%20Sites/vizual/c0.wp.com/c/5.9/wp-includes/js/jquery/ui/datepicker.min.js	(from https://vizulab.com.au/)
14:19:44	212/212	---MC-	401	error ('Unauthorized')	application/json	date:Fri,%2025%20Mar%202022%2008:49:38%20GMT	https://vizulab.com.au/wp-json/wp/v2/pages/11	C:/My%20Web%20Sites/vizual/vizulab.com.au/wp-json/wp/v2/pages/11.15.delayed	(from https://vizulab.com.au/)
14:19:50	85711/85711	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Mar%202022%2008:49:45%20GMT	https://vizulab.com.au/xmlrpc.php?rsd	C:/My%20Web%20Sites/vizual/vizulab.com.au/xmlrpc.160db0.delayed	(from https://vizulab.com.au/)
14:19:57	1045/1045	---M--	200	added ('OK')	application/xml	date:Wed,%2011%20Dec%202013%2019:49:11%20GMT	https://vizulab.com.au/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/vizual/vizulab.com.au/wp-includes/wlwmanifest.xml	(from https://vizulab.com.au/)
14:20:02	268337/268337	---M--	200	added ('OK')	application/javascript	date:Thu,%2010%20Feb%202022%2004:47:43%20GMT	http://vizulab.com.au/wp-content/cache/wpfc-minified/m8by4oi6/88bzv.js	C:/My%20Web%20Sites/vizual/vizulab.com.au/wp-content/cache/wpfc-minified/m8by4oi6/88bzv.js	(from https://vizulab.com.au/)
14:20:04	2310/2310	---MC-	200	added ('OK')	application/json	date:Fri,%2025%20Mar%202022%2008:49:57%20GMT	https://vizulab.com.au/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fvizulab.com.au%2F	C:/My%20Web%20Sites/vizual/vizulab.com.au/wp-json/oembed/1.0/embed21b8.json	(from https://vizulab.com.au/)
14:20:13	284185/284185	---MC-	200	added ('OK')	application/json	date:Fri,%2025%20Mar%202022%2008:49:38%20GMT	https://vizulab.com.au/wp-json/	C:/My%20Web%20Sites/vizual/vizulab.com.au/wp-json/index.html	(from https://vizulab.com.au/)
